"bldg","y","defects","poor","race.x","floor","dist","borough","numunits","stories","race.y","personrm","housewgt","sequenceno","under6","cd","unitflr2","regext","totincom2","subsidy","housing","poverty","povertyx2","extwin4_2","extflr5_2","intcrack2","inthole2","intpeel_cat","intleak2","duration","board2","struct","old","help","rodent2","foreign","dilap","black_Mean","board2_Mean","foreign_Mean","help_Mean","hispanic_Mean","old_Mean","poverty_Mean","povertyx2_Mean","pubhous_Mean","regext_Mean","struct_Mean","dilap_Mean","ownhous_Mean","duration_Mean","extwin4_2_Mean","extflr5_2_Mean","intcrack2_Mean","inthole2_Mean","intleak2_Mean","vacrate"
2553,0,5,4,2,2,18,2,10,3,2,0.5,209.93114,599712,2,18,2,1,22000,0,2,0,1,0,0,1,1,1,1,5,0,0,1,0,0,1,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2553,0,5,4,2,2,18,2,10,3,3,0.25,184.20781,727904,1,18,2,0,76000,0,2,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,7,2,6,18,2,10,5,2,0.25,212.44057,210636,1,18,6,0,7656,0,1,1,1,0,0,0,0,1,0,41,0,0,0,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,7,2,6,18,2,10,5,2,0.5,209.93114,936646,1,18,6,0,5000,1,1,1,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,7,2,6,18,2,10,5,2,0.5,184.20781,278004,2,18,7,NA,29000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,4,2,7,18,2,10,5,2,0.25,212.44057,210636,1,18,6,0,7656,0,1,1,1,0,0,0,0,1,0,41,0,0,0,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,4,2,7,18,2,10,5,2,0.5,209.93114,936646,1,18,6,0,5000,1,1,1,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,0,1,4,2,7,18,2,10,5,2,0.5,184.20781,278004,2,18,7,NA,29000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,1,2,6,2,6,18,2,10,5,2,0.25,212.44057,210636,1,18,6,0,7656,0,1,1,1,0,0,0,0,1,0,41,0,0,0,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,1,2,6,2,6,18,2,10,5,2,0.5,209.93114,936646,1,18,6,0,5000,1,1,1,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2554,1,2,6,2,6,18,2,10,5,2,0.5,184.20781,278004,2,18,7,NA,29000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,4,2,4,18,2,9,3,2,0.75,184.20781,809367,1,18,4,1,18000,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,4,2,4,18,2,9,3,2,1.75,176.93193,21875,4,18,4,1,35901,0,2,0,1,0,0,0,0,0,1,9,0,1,1,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,4,2,4,18,2,9,3,2,0.2,209.93114,95238,1,18,4,1,32000,0,2,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,4,2,4,18,2,9,3,4,1.25,184.20781,776129,3,18,5,1,14700,0,2,1,1,0,0,0,0,0,0,9,1,0,1,1,0,1,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,0,3,2,4,18,2,9,3,2,0.75,184.20781,809367,1,18,4,1,18000,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,0,3,2,4,18,2,9,3,2,1.75,176.93193,21875,4,18,4,1,35901,0,2,0,1,0,0,0,0,0,1,9,0,1,1,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,0,3,2,4,18,2,9,3,2,0.2,209.93114,95238,1,18,4,1,32000,0,2,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,0,3,2,4,18,2,9,3,4,1.25,184.20781,776129,3,18,5,1,14700,0,2,1,1,0,0,0,0,0,0,9,1,0,1,1,0,1,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,6,4,5,18,2,9,3,2,0.75,184.20781,809367,1,18,4,1,18000,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,6,4,5,18,2,9,3,2,1.75,176.93193,21875,4,18,4,1,35901,0,2,0,1,0,0,0,0,0,1,9,0,1,1,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,6,4,5,18,2,9,3,2,0.2,209.93114,95238,1,18,4,1,32000,0,2,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,0,1,6,4,5,18,2,9,3,4,1.25,184.20781,776129,3,18,5,1,14700,0,2,1,1,0,0,0,0,0,0,9,1,0,1,1,0,1,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,2,4,2,4,18,2,9,3,2,0.75,184.20781,809367,1,18,4,1,18000,0,2,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,2,4,2,4,18,2,9,3,2,1.75,176.93193,21875,4,18,4,1,35901,0,2,0,1,0,0,0,0,0,1,9,0,1,1,1,0,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,2,4,2,4,18,2,9,3,2,0.2,209.93114,95238,1,18,4,1,32000,0,2,0,0,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2555,1,2,4,2,4,18,2,9,3,4,1.25,184.20781,776129,3,18,5,1,14700,0,2,1,1,0,0,0,0,0,0,9,1,0,1,1,0,1,0,0.76,0.44,0.44,0.66,0.09,0.82,0.31,0.53,0.11,0.54,0.58,0.05,0.18,11.89,0.07,0.07,0.3,0.17,0.33,0.1
2559,0,0,1.10897435897436,1,2,19,2,1,2,1,0.22,170.64758,903419,1,19,2,0,179600,NA,3,0,0,0,0,0,0,0,0,32,0,1,1,1,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2584,1,2,5,2,4,19,2,10,3,2,1,211.56773,419367,1,19,4,1,26030,0,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2591,1,2,3,2,7,19,2,11,5,2,1,219.26141,952458,2,19,7,0,20000,0,2,0,1,0,0,0,0,0,0,3,0,1,0,NA,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2591,1,2,3,2,7,19,2,11,5,2,2,182.22949,739190,3,19,7,NA,69030,0,2,0,0,0,0,1,0,0,0,5,0,0,0,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2591,1,0,4,2,7,19,2,11,5,2,1,219.26141,952458,2,19,7,0,20000,0,2,0,1,0,0,0,0,0,0,3,0,1,0,NA,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2591,1,0,4,2,7,19,2,11,5,2,2,182.22949,739190,3,19,7,NA,69030,0,2,0,0,0,0,1,0,0,0,5,0,0,0,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2597,1,3,5,2,3,19,2,7,2,2,1.67,151.05413,976910,4,19,3,0,0,0,2,1,1,0,0,1,0,0,1,5,0,0,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2597,1,3,5,2,3,19,2,7,2,2,0.75,219.26141,34940,2,19,4,0,0,0,2,1,1,0,0,0,0,0,0,3,0,1,1,1,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2597,0,0,5,2,4,19,2,7,2,2,1.67,151.05413,976910,4,19,3,0,0,0,2,1,1,0,0,1,0,0,1,5,0,0,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2597,0,0,5,2,4,19,2,7,2,2,0.75,219.26141,34940,2,19,4,0,0,0,2,1,1,0,0,0,0,0,0,3,0,1,1,1,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2605,NA,1.35376108042546,3.10897435897436,2,6,19,2,11,5,2,0.33,182.22949,459925,1,19,6,NA,55000,NA,2,0,0,0,0,NA,NA,NA,NA,5,0,NA,1,NA,NA,NA,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2617,0,0,3,2,2,19,2,10,3,2,0.5,205.67766,533847,1,19,2,0,31000,0,2,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2626,0,0,4.10897435897436,2,3,19,2,11,5,2,0.67,219.26141,562287,1,19,3,1,15800,NA,2,0,1,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,1,0,3,2,5,19,2,9,3,2,0.75,219.26141,977884,2,19,5,0,40000,0,2,0,0,0,0,0,0,0,0,12,0,1,1,1,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,1,0,3,2,5,19,2,9,3,2,0.75,151.05413,142179,2,19,5,0,44800,0,2,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,1,0,3,2,5,19,2,9,3,2,0.33,151.05413,231382,1,19,2,1,26000,0,2,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,0,3,2,5,19,2,9,3,2,0.75,219.26141,977884,2,19,5,0,40000,0,2,0,0,0,0,0,0,0,0,12,0,1,1,1,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,0,3,2,5,19,2,9,3,2,0.75,151.05413,142179,2,19,5,0,44800,0,2,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,0,3,2,5,19,2,9,3,2,0.33,151.05413,231382,1,19,2,1,26000,0,2,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,1,3,2,2,19,2,9,3,2,0.75,219.26141,977884,2,19,5,0,40000,0,2,0,0,0,0,0,0,0,0,12,0,1,1,1,0,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,1,3,2,2,19,2,9,3,2,0.75,151.05413,142179,2,19,5,0,44800,0,2,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2637,0,1,3,2,2,19,2,9,3,2,0.33,151.05413,231382,1,19,2,1,26000,0,2,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,1,1,3,2,7,19,2,12,7,2,1.33,211.56773,587294,1,19,7,0,53864,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,1,1,3,2,7,19,2,12,7,2,1,211.56773,309966,2,19,7,0,44200,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,1,1,3,2,7,19,2,12,7,2,0.67,219.26141,621244,1,19,7,NA,23700,0,2,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,1,1,3,2,7,19,2,12,7,2,1,219.26141,843642,1,19,7,0,26000,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,4,2,7,19,2,12,7,2,1.33,211.56773,587294,1,19,7,0,53864,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,4,2,7,19,2,12,7,2,1,211.56773,309966,2,19,7,0,44200,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,4,2,7,19,2,12,7,2,0.67,219.26141,621244,1,19,7,NA,23700,0,2,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,4,2,7,19,2,12,7,2,1,219.26141,843642,1,19,7,0,26000,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,1,4,2,7,19,2,12,7,2,1.33,211.56773,587294,1,19,7,0,53864,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,1,4,2,7,19,2,12,7,2,1,211.56773,309966,2,19,7,0,44200,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,1,4,2,7,19,2,12,7,2,0.67,219.26141,621244,1,19,7,NA,23700,0,2,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,1,4,2,7,19,2,12,7,2,1,219.26141,843642,1,19,7,0,26000,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,3,2,7,19,2,12,7,2,1.33,211.56773,587294,1,19,7,0,53864,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,3,2,7,19,2,12,7,2,1,211.56773,309966,2,19,7,0,44200,0,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,3,2,7,19,2,12,7,2,0.67,219.26141,621244,1,19,7,NA,23700,0,2,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2667,0,0,3,2,7,19,2,12,7,2,1,219.26141,843642,1,19,7,0,26000,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.8,0.09,0.61,0.64,0.07,0.87,0.2,0.43,0,0.35,0.56,0,0.15,11.76,0.01,0.05,0.23,0.14,0.25,0.05
2671,0,0.0224215246636771,1.02631578947368,1,2,20,2,1,1,1,0.33,169.7783,364929,1,20,2,0,103000,NA,3,0,0,0,NA,0,0,0,0,14,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,446136,1,20,2,0,44000,NA,3,0,0,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,469478,1,20,2,0,49600,NA,3,0,0,0,0,0,0,1,0,46,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,847461,1,20,2,1,87060,NA,3,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,446136,1,20,2,0,44000,NA,3,0,0,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,469478,1,20,2,0,49600,NA,3,0,0,0,0,0,0,1,0,46,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,0,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,847461,1,20,2,1,87060,NA,3,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,1,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,446136,1,20,2,0,44000,NA,3,0,0,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,1,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,469478,1,20,2,0,49600,NA,3,0,0,0,0,0,0,1,0,46,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2674,0,1,1.02631578947368,1,2,20,2,1,2,1,0.22,240.83153,847461,1,20,2,1,87060,NA,3,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,1,2,5,1,5,20,2,10,3,1,0.5,262.16012,256235,1,20,5,1,94000,0,2,0,0,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,1,2,5,1,5,20,2,10,3,1,0.33,262.16012,5740,1,20,3,0,30000,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,1,2,5,1,5,20,2,10,3,1,1,173.40687,52379,1,20,4,1,19000,0,2,0,1,0,0,1,0,1,0,4,0,1,1,1,0,1,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,1,2,5,1,5,20,2,10,3,1,1,262.16012,953470,1,20,5,1,6000,0,2,1,1,0,0,1,0,0,1,6,0,1,1,1,1,1,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,2,4,1,4,20,2,10,3,1,0.5,262.16012,256235,1,20,5,1,94000,0,2,0,0,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,2,4,1,4,20,2,10,3,1,0.33,262.16012,5740,1,20,3,0,30000,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,2,4,1,4,20,2,10,3,1,1,173.40687,52379,1,20,4,1,19000,0,2,0,1,0,0,1,0,1,0,4,0,1,1,1,0,1,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,2,4,1,4,20,2,10,3,1,1,262.16012,953470,1,20,5,1,6000,0,2,1,1,0,0,1,0,0,1,6,0,1,1,1,1,1,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,0,3,1,5,20,2,10,3,1,0.5,262.16012,256235,1,20,5,1,94000,0,2,0,0,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
2707,0,0,3,1,5,20,2,10,3,1,0.33,262.16012,5740,1,20,3,0,30000,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0.04,0.37,0.87,0.08,0.87,0.12,0.26,0,0.49,0.91,0.04,0.4,12.71,0.02,0.02,0.07,0.02,0.14,0.07
